Check NPs,Check V,raw_order,condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Target,Continuation,Target.Freq,Target.Prob,Nresponses,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-,-,109,1,short.high,3,4,28,short,high,g,26,b,The ringmaster,recognized,which,tamer,the,cheetah,,had,mauled,three years ago.,2,0.066666667,30,attacked,mauled,obeyed,practiced with,eaten,eaten,followed,eaten,clawed,eaten,attacked,attacked,been trained by,obeyed,growled at,snarled at,fired,bitten,obeyed,hurt,devored,yearned,bonded with,attacked.,been trained by,attacked,growled at,mauled,eaten,loved,#REF!,#REF!
-,-,110,2,short.low,3,3,28,short,low,b,26,a,The ringmaster,recognized,which,cheetah,the,tamer,,had,mauled,three years ago.,0,0,30,tamed,tamed,taught to fetch toys,trained,tamed,tamed,trained,tamed,been working with,worked with,neclected,the most experience with,tamed,trained.,just fed,beaten,trained.,trained,tamed,under his control,given a sedative to,trained,sold,trained.,chased,failed to feed,tamed,trained,in the cage with him,tamed,#REF!,#REF!
-,-,111,3,long.high,3,1,28,long,high,g,26,b,The ringmaster,recognized,which,tamer,the,cheetah,from the circus,had,mauled,three years ago.,6,0.193548387,31,attacked,attacked,attacked,attacked,attacked,attacked,attacked,attacked,attacked,been fed by,been trained by,been trained by,bit,bitten,bitten,bitten,bitten,clawed,eaten,eaten,eaten,injured,listened to,mauled,mauled,mauled,mauled,mauled,mauled,swiped at,trusted,#REF!
-,-,112,4,long.low,3,2,28,long,low,b,26,a,The ringmaster,recognized,which,cheetah,the,tamer,from the circus,had,mauled,three years ago.,1,0.032258065,31,as a pet,beaten,escaped,fed,lost,lost,mauled,raised,saved,tamed,tamed,tamed,tamed,tamed,trained,trained,trained,trained,trained,trained,trained,trained,trained,trained,trained,trained,trained,whipped,whipped,whipped,worked at,#REF!
-,-,113,1,short.high,4,2,29,short,high,g,28,a,The bird watcher,saw,which,photographer,the,hawk,,had,attacked,during the shoot.,7,0.233333333,30,cleverly avoided,hit,landed,photographed,seen,landed near,flown at,attacked,attacked,swooped down on,scared,posed for.,circled,flown towards.,circled,dazzled,attacked,shat upon,been circling,attacked,attacked,avoided,avoided,frightened,clawed,targeted,his eye on,attacked,shot,attacked,#REF!,#REF!
-,-,114,2,short.low,4,1,29,short,low,b,28,b,The bird watcher,saw,which,hawk,the,photographer,,had,attacked,during the shoot.,0,0,30,photographed,photographed,pursued,shoot,captured,seen,shot,tagged,photographed,tagged,photographed,photographed,identified,photographed,captured,photographed.,photographed,shot,captured,photoed,spied,taken the best photos of,captured in film,featured,photographed,snapped,photographed,seen,photographed,snapped the picture of,#REF!,#REF!
-,-,115,3,long.high,4,3,29,long,high,g,28,a,The bird watcher,saw,which,photographer,the,hawk,by the lake,had,attacked,during the shoot.,7,0.225806452,31,attacked,attacked,attacked,attacked,attacked,attacked,attacked,been,been captured by,been hit by,been photographed by,bit,bitten,bitten,bitten,flown,flown over,flown past,hurt,photoed,photographed,photographed,pooped on,pooped on,scared,seen,stalked,startled,startled,swooped on,swooped on,#REF!
-,-,116,4,long.low,4,4,29,long,low,b,28,b,The bird watcher,saw,which,hawk,the,photographer,by the lake,had,attacked,during the shoot.,0,0,31,binoculars,captured,flew,hurt,photgraphed,photoed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,seen,shot,snapped,taken a picture of,taken a picture of,taken a picture of,taken pictures of,#REF!
-,-,117,1,short.high,5,3,30,short,high,g,28,b,The bird watcher,saw,which,hawk,the,photographer,,had,photographed,in the morning.,10,0.333333333,30,photographed,photographed,pursued,shoot,captured,seen,shot,tagged,photographed,tagged,photographed,photographed,identified,photographed,captured,photographed.,photographed,shot,captured,photoed,spied,taken the best photos of,captured in film,featured,photographed,snapped,photographed,seen,photographed,snapped the picture of,#REF!,#REF!
-,-,118,2,short.low,5,4,30,short,low,b,28,a,The bird watcher,saw,which,photographer,the,hawk,,had,photographed,in the morning.,1,0.033333333,30,cleverly avoided,hit,landed,photographed,seen,landed near,flown at,attacked,attacked,swooped down on,scared,posed for.,circled,flown towards.,circled,dazzled,attacked,shat upon,been circling,attacked,attacked,avoided,avoided,frightened,clawed,targeted,his eye on,attacked,shot,attacked,#REF!,#REF!
-,-,119,3,long.high,5,2,30,long,high,g,28,b,The bird watcher,saw,which,hawk,the,photographer,by the lake,had,photographed,in the morning.,18,0.580645161,31,binoculars,captured,flew,hurt,photgraphed,photoed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,photographed,seen,shot,snapped,taken a picture of,taken a picture of,taken a picture of,taken pictures of,#REF!
-,-,120,4,long.low,5,1,30,long,low,b,28,a,The bird watcher,saw,which,photographer,the,hawk,by the lake,had,photographed,in the morning.,2,0.064516129,31,attacked,attacked,attacked,attacked,attacked,attacked,attacked,been,been captured by,been hit by,been photographed by,bit,bitten,bitten,bitten,flown,flown over,flown past,hurt,photoed,photographed,photographed,pooped on,pooped on,scared,seen,stalked,startled,startled,swooped on,swooped on,#REF!
-,-,121,1,short.high,1,2,31,short,high,g,29,a,The costume designer,confirmed,which,actor,the,barber,,had,shaved,in the afternoon.,6,0.2,30,groomed,sheared,shaved,slept with,cut hair for,trimmed,shaved,already gotten to,seen,shaved,attended to,been visted by,met,trimmed,dated,worked for.,suggested,gone to,styled,seen,encountered,shaved,shaved for,styled,shaved,yesterday,styled,shaved,groomed,idolized,#REF!,#REF!
-,-,122,2,short.low,1,1,31,short,low,b,29,b,The costume designer,confirmed,which,barber,the,actor,,had,shaved,in the afternoon.,0,0,30,requested for a haircut,used,used,visited,portrayed,gone to,gotten his haircut from,visited,used,requested fix his hair.,hired,used.,hired,seen.,chosen,visited,used,beaten up,berated,used,gone to,requested,been going to,picked,talked to yesterday,gone to,portrayed,visited,cut his hair,hired to cut his hair,#REF!,#REF!
-,-,123,3,long.high,1,4,31,long,high,g,29,a,The costume designer,confirmed,which,actor,the,barber,in the studio,had,shaved,in the afternoon.,2,0.064516129,31,already seen,assisted,cut,cut,cut,cut,cut,cut hair,cut hair for,cut the hair of,dated,dressed,given a haircut,given a haircut to,given a haircut to,groomed,met,patronized,seen for a haircut,serviced,serviced,shaved,shaved,shaved bald,spoken with,styled,styled,trimmed,work on,worked on,worked on,#REF!
-,-,124,4,long.low,1,3,31,long,low,b,29,b,The costume designer,confirmed,which,barber,the,actor,in the studio,had,shaved,in the afternoon.,0,0,31,an appointment with,associated with,been to,been trimmed by,chosen,chosen for his haircut,cut his hair,cut his hair,fired,fired,gone to,gone to,gone to see,hired,liked,met,met with,preferred,seen,seen,talked to,used,used,used,used for her hair,utilized,visited,visited,went with,worked at,yelled at,#REF!
-,-,125,1,short.high,2,4,32,short,high,g,29,b,The costume designer,confirmed,which,barber,the,actor,,had,used,while getting ready.,5,0.166666667,30,requested for a haircut,used,used,visited,portrayed,gone to,gotten his haircut from,visited,used,requested fix his hair.,hired,used.,hired,seen.,chosen,visited,used,beaten up,berated,used,gone to,requested,been going to,picked,talked to yesterday,gone to,portrayed,visited,cut his hair,hired to cut his hair,#REF!,#REF!
-,-,126,2,short.low,2,3,32,short,low,b,29,a,The costume designer,confirmed,which,actor,the,barber,,had,used,while getting ready.,0,0,30,groomed,sheared,shaved,slept with,cut hair for,trimmed,shaved,already gotten to,seen,shaved,attended to,been visted by,met,trimmed,dated,worked for.,suggested,gone to,styled,seen,encountered,shaved,shaved for,styled,shaved,yesterday,styled,shaved,groomed,idolized,#REF!,#REF!
-,-,127,3,long.high,2,2,32,long,high,g,29,b,The costume designer,confirmed,which,barber,the,actor,in the studio,had,used,while getting ready.,3,0.096774194,31,an appointment with,associated with,been to,been trimmed by,chosen,chosen for his haircut,cut his hair,cut his hair,fired,fired,gone to,gone to,gone to see,hired,liked,met,met with,preferred,seen,seen,talked to,used,used,used,used for her hair,utilized,visited,visited,went with,worked at,yelled at,#REF!
-,-,128,4,long.low,2,1,32,long,low,b,29,a,The costume designer,confirmed,which,actor,the,barber,in the studio,had,used,while getting ready.,0,0,31,already seen,assisted,cut,cut,cut,cut,cut,cut hair,cut hair for,cut the hair of,dated,dressed,given a haircut,given a haircut to,given a haircut to,groomed,met,patronized,seen for a haircut,serviced,serviced,shaved,shaved,shaved bald,spoken with,styled,styled,trimmed,work on,worked on,worked on,#REF!
-,-,129,1,short.high,3,1,33,short,high,g,30,a,The young king,identified,which,prince,the,elephant,,had,trampled,during a stampede.,7,0.233333333,30,been ridden by,belonged,bought,bought,carried,carried in the parade,chosen,chosen,chosen,crushed,entertained,hit,killed,killed,liked,murdered,nudged,preferred,stampeded,stepped on,stepped on and killed,stomped,stomped on,trampled,trampled,trampled,trampled,trampled,trampled,trampled,0,0
-,-,130,2,short.low,3,2,33,short,low,b,30,b,The young king,identified,which,elephant,the,prince,,had,trampled,during a stampede.,0,0,32,been riding,bought,bought,chosen,chosen,died,killed,liked,loved,purchased,ridden,ridden,ridden,ridden,ridden,ridden,ridden ,ridden ,ridden in on,ridden yesterday,riden on,rode,rode,rode in on,rode on,slain,slaughtered,sold,stolen,wanted,wanted as a birthday gift,wanted for his birthday
-,-,131,3,long.high,3,3,33,long,high,g,30,a,The young king,identified,which,prince,the,elephant,from Northern India,had,trampled,during a stampede.,9,0.290322581,31,been brought by,been carrying,belonged to,belonged to,belonged to,carried,carried,carried,carried,crushed,fancied,liked,owned,picked,ridden,rode ,seen,stepped on,stomped,survived,thrown,trampled,trampled,trampled,trampled,trampled,trampled,trampled,trampled,trampled,transported,#REF!
-,-,132,4,long.low,3,4,33,long,low,b,30,b,The young king,identified,which,elephant,the,prince,from Northern India,had,trampled,durng a stampede.,0,0,31,brought,brought to him,chosen,chosen,chosen,gifted,gifted to him,given him,given them,killed,owned,purchased,purchased,purchased,purchased,purchased,purchased,ridden,ridden,ridden,ridden,ridden,ridden,ridden on,rode,rode in on,rode on,sent,slaughtered,sold,tamed,#REF!
-,-,133,1,short.high,4,3,34,short,high,g,30,b,The young king,identified,which,elephant,the,prince,,had,ridden,during the ceremony.,15,0.46875,32,been riding,bought,bought,chosen,chosen,died,killed,liked,loved,purchased,ridden,ridden,ridden,ridden,ridden,ridden,ridden ,ridden ,ridden in on,ridden yesterday,riden on,rode,rode,rode in on,rode on,slain,slaughtered,sold,stolen,wanted,wanted as a birthday gift,wanted for his birthday
-,-,134,2,short.low,4,4,34,short,low,b,30,a,The young king,identified,which,prince,the,elephant,,had,ridden,during the ceremony.,0,0,30,been ridden by,belonged,bought,bought,carried,carried in the parade,chosen,chosen,chosen,crushed,entertained,hit,killed,killed,liked,murdered,nudged,preferred,stampeded,stepped on,stepped on and killed,stomped,stomped on,trampled,trampled,trampled,trampled,trampled,trampled,trampled,0,0
-,-,135,3,long.high,4,1,34,long,high,g,30,b,The young king,identified,which,elephant,the,prince,from Northern India,had,ridden,during the ceremony.,10,0.322580645,31,brought,brought to him,chosen,chosen,chosen,gifted,gifted to him,given him,given them,killed,owned,purchased,purchased,purchased,purchased,purchased,purchased,ridden,ridden,ridden,ridden,ridden,ridden,ridden on,rode,rode in on,rode on,sent,slaughtered,sold,tamed,#REF!
-,-,136,4,long.low,4,2,34,long,low,b,30,a,The young king,identified,which,prince,the,elephant,from Northern India,had,ridden,during the ceremony.,2,0.064516129,31,been brought by,been carrying,belonged to,belonged to,belonged to,carried,carried,carried,carried,crushed,fancied,liked,owned,picked,ridden,rode ,seen,stepped on,stomped,survived,thrown,trampled,trampled,trampled,trampled,trampled,trampled,trampled,trampled,trampled,transported,#REF!
-,-,137,1,short.high,5,1,35,short,high,g,33,a,The sailor,saw,which,whale,the,man,,had,harpooned,from the ship.,7,0.233333333,30,harpooned,speared,eaten,spotted,harpooned,poached,harpooned,stabbed,hunted,spoken of,harpooned,talked about,spotted,harpooned,killed,swallowed.,captured,killed,spotted,harpooned,pointed out,stabbed,speared,identified ,found,harpooned,killed,speared,slain,speared,#REF!,#REF!
-,-,138,2,short.low,5,2,35,short,low,b,33,b,The sailor,saw,which,man,the,whale,,had,harpooned,from the ship.,0,0,30,come up to,killed,saved,swallowed,killed,swallowed,swallowed whole,swallowed,attacked,eaten.,attacked,appeared to.,swallowed,attacked.,swallowed,eaten,attacked,swallowed ,splashed while on the boat,drowned,killed,attacked,bitten,eaten,eaten,followed,eaten,eaten,eaten,attacked,#REF!,#REF!
-,-,139,3,long.high,5,4,35,long,high,g,33,a,The sailor,saw,which,whale,the,man,by the island,had,harpooned,from the ship.,9,0.290322581,31,been attacked by,been eaten by,caught,caught,eaten,encountered,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,hit with a boat,killed,killed,pointed to,pointed to,saw,seen,seen,seen,spotted,spotted,spotted,swam with,talked about,touched,witnessed,#REF!
-,-,140,4,long.low,5,3,35,long,low,b,33,b,The sailor,saw,which,man,the,whale,by the island,had,harpooned,from the ship.,0,0,31,attacked,attacked,been harpooned by,bit,crushed,crushed,eaten,eaten,eaten,eaten,eaten,eaten,eaten,followed around,frightened,grown fond of,jumped,passed by,pursued,saved,saved,splashed,splashed ,swallowed,swallowed,swallowed,swam,swam to,swollowed,swum near,taken a shine to,#REF!
-,-,141,1,short.high,1,4,36,short,high,g,33,b,The sailor,saw,which,man,the,whale,,had,swallowed,on the starboard side.,5,0.166666667,30,come up to,killed,saved,swallowed,killed,swallowed,swallowed whole,swallowed,attacked,eaten.,attacked,appeared to.,swallowed,attacked.,swallowed,eaten,attacked,swallowed ,splashed while on the boat,drowned,killed,attacked,bitten,eaten,eaten,followed,eaten,eaten,eaten,attacked,#REF!,#REF!
-,-,142,2,short.low,1,3,36,short,low,b,33,a,The sailor,saw,which,whale,the,man,,had,swallowed,on the starboard side.,0,0,30,harpooned,speared,eaten,spotted,harpooned,poached,harpooned,stabbed,hunted,spoken of,harpooned,talked about,spotted,harpooned,killed,swallowed.,captured,killed,spotted,harpooned,pointed out,stabbed,speared,identified ,found,harpooned,killed,speared,slain,speared,#REF!,#REF!
-,-,143,3,long.high,1,1,36,long,high,g,33,b,The sailor,saw,which,man,the,whale,by the island,had,swallowed,on the starboard side.,3,0.096774194,31,attacked,attacked,been harpooned by,bit,crushed,crushed,eaten,eaten,eaten,eaten,eaten,eaten,eaten,followed around,frightened,grown fond of,jumped,passed by,pursued,saved,saved,splashed,splashed ,swallowed,swallowed,swallowed,swam,swam to,swollowed,swum near,taken a shine to,#REF!
-,-,144,4,long.low,1,2,36,long,low,b,33,a,The sailor,saw,which,whale,the,man,by the island,had,swallowed,on the starboard side.,0,0,31,been attacked by,been eaten by,caught,caught,eaten,encountered,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,harpooned,hit with a boat,killed,killed,pointed to,pointed to,saw,seen,seen,seen,spotted,spotted,spotted,swam with,talked about,touched,witnessed,#REF!
-,-,145,1,short.high,2,2,37,short,high,g,35,a,The movie goer,recognized,which,woman,the,zombie,,had,bitten,during the fight.,7,0.21875,32,attacked,been,bit,bit,bitten,bitten,bitten,bitten,bitten ,chased down the street,devoured,devoured,dismembered,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,killed,killed,killed,killed,killed,killed,mauled,slain
-,-,146,2,short.low,2,1,37,short,low,b,35,b,The movie goer,recognized,which,zombie,the,woman,,had,bitten,during the fight.,0,0,30,around her waist,attacked,become,been,bit,escaped from,escaped from,fallen in love with,fought,fought off,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,played,played before,portrayed,ran from,ran from,shot,shot,0,0
-,-,147,3,long.high,2,3,37,long,high,g,35,a,The movie goer,recognized,which,woman,the,zombie,in the story,had,bitten,during the fight.,2,0.064516129,31,ate,attacked,attacked,attacked,been,been married to,biten,bitten,caught,died,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,killed,killed,killed,killed,resembled,tore apart,#REF!
-,-,148,4,long.low,2,4,37,long,low,b,35,b,The movie goer,recognized,which,zombie,the,woman,in the story,had,bitten,during the fight.,0,0,31,axed,been attacked,been bitten by,been eaten by,been eaten by,been eaten by,been killed by,destroyed,eaten,faced,fallen in love,feared,feared,killed,killed,killed,killed,killed,killed,killed,killed with an axe,outrun,ran from,ran from,run from,run from,seen,seen,shot,shot,shot,#REF!
-,-,149,1,short.high,3,3,38,short,high,g,35,b,The movie goer,recognized,which,zombie,the,woman,,had,shot,out of fear.,2,0.066666667,30,around her waist,attacked,become,been,bit,escaped from,escaped from,fallen in love with,fought,fought off,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,played,played before,portrayed,ran from,ran from,shot,shot,0,0
-,-,150,2,short.low,3,4,38,short,low,b,35,a,The movie goer,recognized,which,woman,the,zombie,,had,shot,out of fear.,0,0,32,attacked,been,bit,bit,bitten,bitten,bitten,bitten,bitten ,chased down the street,devoured,devoured,dismembered,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,killed,killed,killed,killed,killed,killed,mauled,slain
-,-,151,3,long.high,3,2,38,long,high,g,35,b,The movie goer,recognized,which,zombie,the,woman,in the story,had,shot,out of fear.,3,0.096774194,31,axed,been attacked,been bitten by,been eaten by,been eaten by,been eaten by,been killed by,destroyed,eaten,faced,fallen in love,feared,feared,killed,killed,killed,killed,killed,killed,killed,killed with an axe,outrun,ran from,ran from,run from,run from,seen,seen,shot,shot,shot,#REF!
-,-,152,4,long.low,3,1,38,long,low,b,35,a,The movie goer,recognized,which,woman,the,zombie,in the story,had,shot,out of fear.,0,0,31,ate,attacked,attacked,attacked,been,been married to,biten,bitten,caught,died,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,eaten,killed,killed,killed,killed,resembled,tore apart,#REF!
-,-,153,1,short.high,4,2,39,short,high,g,37,a,The broadcaster,explained,which,contestant,the,judge,,had,chosen,to win the prize.,5,0.166666667,30,chosen,selected,disqualified,disqualified,allowed to move on,rated highest,liked.,chosen for the prize,voted for,praised,eliminated,rated the highest,chosen,prefered,given a good score to,watched,ejected,disqualified,disqualified,sentenced,picked,disqualified,ruled as wrong,picked,disqualified ,chosen,rigged,scorned,chosen,chosen,#REF!,#REF!
-,-,154,2,short.low,4,1,39,short,low,b,37,b,The broadcaster,explained,which,judge,the,contestant,,had,chosen,to win the prize.,2,0.066666667,30,to impress the most in the talent portion of the competition,seduced,chosen,paid off,argued with,chosen,liked,selected as a mentor,amused,disappointed,convinced,appealed to,liked,disliked,won over,liked,insulted,wooed over,run afoul of,surprised,punched,favored,bribed,impressed,liked,to answer to,surprised,tried to bribe,Talked to,for their trial,#REF!,#REF!
-,-,155,3,long.high,4,4,39,long,high,g,37,a,The broadcaster,explained,which,contestant,the,judge,on the stage,had,chosen,to win the prize.,9,0.290322581,31,a relationship with,announced as winner,chosen,chosen,chosen,chosen,chosen,chosen,chosen,chosen,chosen,congratulated,criticized,dismissed,dismissed,eliminated,eliminated,hated,insulted,insulted,kicked off,liked,picked,prefered,reprimanded,selected,voted for,voted for,voted for,voted off,won,#REF!
-,-,156,4,long.low,4,3,39,long,low,b,37,b,The broadcaster,explained,which,judge,the,contestant,on the stage,had,chosen,to win the prize.,0,0,31,admired,amused,an affair with,angered,angered,been rated by,been scored by,chosen,cursed out,danced,fell,hated,hated,heard,impressed,impressed,impressed,impressed the most,insulted,offended,offended,offended,paid off,performed for,praised the contestant,questioned,rebuked,selected,won over,wooed,yelled at,#REF!
-,-,157,1,short.high,5,4,40,short,high,g,37,b,The broadcaster,explained,which,judge,the,contestant,,had,impressed,with his answer.,2,0.066666667,30,to impress the most in the talent portion of the competition,seduced,chosen,paid off,argued with,chosen,liked,selected as a mentor,amused,disappointed,convinced,appealed to,liked,disliked,won over,liked,insulted,wooed over,run afoul of,surprised,punched,favored,bribed,impressed,liked,to answer to,surprised,tried to bribe,Talked to,for their trial,#REF!,#REF!
-,-,158,2,short.low,5,3,40,short,low,b,37,a,The broadcaster,explained,which,contestant,the,judge,,had,impressed,with his answer.,0,0,30,chosen,selected,disqualified,disqualified,allowed to move on,rated highest,liked.,chosen for the prize,voted for,praised,eliminated,rated the highest,chosen,prefered,given a good score to,watched,ejected,disqualified,disqualified,sentenced,picked,disqualified,ruled as wrong,picked,disqualified ,chosen,rigged,scorned,chosen,chosen,#REF!,#REF!
-,-,159,3,long.high,5,2,40,long,high,g,37,b,The broadcaster,explained,which,judge,the,contestant,on the stage,had,impressed,with his answer.,3,0.096774194,31,admired,amused,an affair with,angered,angered,been rated by,been scored by,chosen,cursed out,danced,fell,hated,hated,heard,impressed,impressed,impressed,impressed the most,insulted,offended,offended,offended,paid off,performed for,praised the contestant,questioned,rebuked,selected,won over,wooed,yelled at,#REF!
-,-,160,4,long.low,5,1,40,long,low,b,37,a,The broadcaster,explained,which,contestant,the,judge,on the stage,had,impressed,with his answer.,0,0,31,a relationship with,announced as winner,chosen,chosen,chosen,chosen,chosen,chosen,chosen,chosen,chosen,congratulated,criticized,dismissed,dismissed,eliminated,eliminated,hated,insulted,insulted,kicked off,liked,picked,prefered,reprimanded,selected,voted for,voted for,voted for,voted off,won,#REF!
-,-,161,1,short.high,1,1,41,short,high,g,38,a,The campaign volunteer,speculated,which,mayor,the,voters,,had,elected,earlier that year.,6,0.2,30,chosen,chosen,elected,chosen,chosen,voted for,chosen,chosen,chose,voted for,disliked,really liked,elected,chosen,elected,appreciation for,impaled,chosen,voted for,chosen,impeached,chosen,elected,spurned.,the most confidence in,elected,elected,selected,chosen,been had by,#REF!,#REF!
-,-,162,2,short.low,1,2,41,short,low,b,38,b,The campaign volunteer,speculated,which,voters,the,mayor,,had,elected,earlier that year.,0,0,30,communicated with,picked,given a speech to,gained,persuaded,worked for,targeted,bribed,retained,bribed,targeted,lied to,won,paid off,already won,remaining,bought.,courted,accumulated,targeted his campaign to,bribed,influenced,beseeched,acquired.,paid,been bribing,met.,wooed,asked for support,bribed,#REF!,#REF!
-,-,163,3,long.high,1,3,41,long,high,g,38,a,The campaign volunteer,speculated,which,mayor,the,voters,in the town,had,elected,earlier that year.,13,0.419354839,31,chose,chosen,chosen,chosen,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,favorited,picked,picked,picked,preferred,stayed away from,voted,voted for,voted for,voted for,voted for,voted for,wanted,wanted,#REF!
-,-,164,4,long.low,1,4,41,long,low,b,38,b,The campaign volunteer,speculated,which,voters,the,mayor,in the town,had,elected,earlier that year.,0,0,31,appeased,bribed,bribed,bribed,campaigned for,campaigned to,charmed,cheated,complimented,gotten,intimidated,misled,noticed,paid off,payed to vote,persuaded,persuaded,polled,received,sewn up,singled out,spoken to,spoken to,swayed,targeted,targeted,targeted,voted,won,won over,won over,#REF!
-,-,165,1,short.high,2,3,42,short,high,g,38,b,The campaign volunteer,speculated,which,voters,the,mayor,,had,bribed,to win the election.,4,0.133333333,30,communicated with,picked,given a speech to,gained,persuaded,worked for,targeted,bribed,retained,bribed,targeted,lied to,won,paid off,already won,remaining,bought.,courted,accumulated,targeted his campaign to,bribed,influenced,beseeched,acquired.,paid,been bribing,met.,wooed,asked for support,bribed,#REF!,#REF!
-,-,166,2,short.low,2,4,42,short,low,b,38,a,The campaign volunteer,speculated,which,mayor,the,voters,,had,bribed,to win the election.,0,0,30,chosen,chosen,elected,chosen,chosen,voted for,chosen,chosen,chose,voted for,disliked,really liked,elected,chosen,elected,appreciation for,impaled,chosen,voted for,chosen,impeached,chosen,elected,spurned.,the most confidence in,elected,elected,selected,chosen,been had by,#REF!,#REF!
-,-,167,3,long.high,2,1,42,long,high,g,38,b,The campaign volunteer,speculated,which,voters,the,mayor,in the town,had,bribed,to win the election.,3,0.096774194,31,appeased,bribed,bribed,bribed,campaigned for,campaigned to,charmed,cheated,complimented,gotten,intimidated,misled,noticed,paid off,payed to vote,persuaded,persuaded,polled,received,sewn up,singled out,spoken to,spoken to,swayed,targeted,targeted,targeted,voted,won,won over,won over,#REF!
-,-,168,4,long.low,2,2,42,long,low,b,38,a,The campaign volunteer,speculated,which,mayor,the,voters,in the town,had,bribed,to win the election.,0,0,31,chose,chosen,chosen,chosen,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,elected,favorited,picked,picked,picked,preferred,stayed away from,voted,voted for,voted for,voted for,voted for,voted for,wanted,wanted,#REF!
-,-,169,1,short.high,3,1,43,short,high,g,43,a,The producer,observed,which,viewers,the,acrobats,,had,impressed,with their tricks.,5,0.166666667,30,picked out,thrilled,entertained,performed for,entertained,amazed,engaged,preformed for,seen,hurt,enjoyed,gained the attention of,entranced,pleased,impressed,watching them,acted upon,met with,been performing for,impressed,frightened,performed,seen,impressed.,been demonstrating to,impressed,impressed,impressed,watching,fallen,#REF!,#REF!
-,-,170,2,short.low,3,2,43,short,low,b,43,b,The producer,observed,which,acrobats,the,viewers,,had,impressed,with their tricks.,0,0,30,liked most,noticed,liked most,observed,applauded,liked best,noticed,seen,watched,watched,paid to most attention to,enjoyed the most,clapped,most enjoyed,liked the most,watched,been entranced by.,watched,seen,took pictures of,admired most,liked,liked,liked the most.,liked,thrown peanuts at,seen,enjoyed,liked the best,liked,#REF!,#REF!
-,-,171,3,long.high,3,4,43,long,high,g,43,a,The producer,observed,which,viewers,the,acrobats,from the town,had,impressed,with their tricks.,7,0.225806452,31,auditioned,awed,awed,bored,displayed their arts,enjoyed the most,entertained,entertained,flipped over,impressed,impressed,impressed,impressed,impressed,impressed,impressed,liked,liked best,liked most,performed for,performed for,performed for,performed for,performed for,pleased,saluted,smiled at,the most excitment,watched,wowed,wowed,#REF!
-,-,172,4,long.low,3,3,43,long,low,b,43,b,The producer,observed,which,acrobats,the,viewers,from the town,had,impressed,with their tricks.,0,0,31,applauded,applauded,been impressed with,caught their eye,cheered on,clapped for,come to see,enjoyed,enjoyed,enjoyed most,envied,favored,hated,hated,liked,liked,liked,liked most,liked most,liked the best,performed,praised,seen,seen,seen,thanked,watched,watched,watched,watched,watched,#REF!
-,-,173,1,short.high,4,4,44,short,high,g,43,b,The producer,observed,which,acrobats,the,viewers,,had,watched,practicing their tricks.,4,0.133333333,30,liked most,noticed,liked most,observed,applauded,liked best,noticed,seen,watched,watched,paid to most attention to,enjoyed the most,clapped,most enjoyed,liked the most,watched,been entranced by.,watched,seen,took pictures of,admired most,liked,liked,liked the most.,liked,thrown peanuts at,seen,enjoyed,liked the best,liked,#REF!,#REF!
-,-,174,2,short.low,4,3,44,short,low,b,43,a,The producer,observed,which,viewers,the,acrobats,,had,watched,practicing their tricks.,0,0,30,picked out,thrilled,entertained,performed for,entertained,amazed,engaged,preformed for,seen,hurt,enjoyed,gained the attention of,entranced,pleased,impressed,watching them,acted upon,met with,been performing for,impressed,frightened,performed,seen,impressed.,been demonstrating to,impressed,impressed,impressed,watching,fallen,#REF!,#REF!
-,-,175,3,long.high,4,1,44,long,high,g,43,b,The producer,observed,which,acrobats,the,viewers,from the town,had,watched,practicing their tricks.,5,0.161290323,31,applauded,applauded,been impressed with,caught their eye,cheered on,clapped for,come to see,enjoyed,enjoyed,enjoyed most,envied,favored,hated,hated,liked,liked,liked,liked most,liked most,liked the best,performed,praised,seen,seen,seen,thanked,watched,watched,watched,watched,watched,#REF!
